1000 0.000324547
2000 0.000588733
3000 0.00101331
4000 0.00140368
5000 0.00164373
6000 0.00137472
7000 0.00130156
8000 0.00154541
9000 0.00192263
10000 0.00212602
11000 0.00256631
12000 0.00280085
13000 0.0025354
14000 0.00320215
15000 0.00302028
16000 0.00327569
17000 0.0037691
18000 0.00403366
19000 0.00439724
20000 0.00521629
21000 0.00584827
22000 0.00540879
23000 0.00571704
24000 0.00602066
25000 0.0065335
26000 0.00544505
27000 0.00698781
28000 0.00592606
29000 0.00629439
30000 0.00651747
31000 0.00684386
32000 0.0072057
33000 0.00731613
34000 0.0079478
35000 0.00801505
36000 0.00877279
37000 0.00923815
38000 0.0091112
39000 0.00930852
40000 0.0099548
41000 0.0103158
42000 0.0104965
43000 0.0108505
44000 0.0112577
45000 0.0119871
46000 0.0119854
47000 0.0124537
48000 0.0128447
49000 0.0132
50000 0.0136504
51000 0.0125396
52000 0.0114852
53000 0.0122807
54000 0.0117597
55000 0.012292
56000 0.0124874
57000 0.0129127
58000 0.0131898
59000 0.0200569
60000 0.018016
61000 0.014297
62000 0.0146534
63000 0.0151202
64000 0.0155399
65000 0.0156257
66000 0.0157781
67000 0.0160592
68000 0.016426
69000 0.0188973
70000 0.01759
71000 0.0176312
72000 0.0178773
73000 0.0184201
74000 0.0182275
75000 0.0191307
76000 0.019284
77000 0.0195583
78000 0.0197914
79000 0.0204159
80000 0.0208143
81000 0.0209203
82000 0.0216594
83000 0.0221805
84000 0.0225662
85000 0.0225458
86000 0.0237456
87000 0.0233551
88000 0.0237549
89000 0.0240081
90000 0.0245347
91000 0.0251164
92000 0.0258347
93000 0.0259619
94000 0.0261262
95000 0.0264431
96000 0.0275255
97000 0.0273397
98000 0.0274158
99000 0.0283394
